Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
